,job_title,company_name,location,job_kind,skills
0,Python Or Electron Framework Developer (Knowledge Survivor - Desktop Application),ItsTime,"Oakville, Canada ",Part Time,Part TimeFreelance / ProjectWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · UI · Computer Science · Information Technology (IT) · Software Development · GTK · English · Software Engineering
1,Senior Python Developer,CLOUDSIGMA AG,"Sofia, Bulgaria ",Freelance / Project,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python3 · Relational Databases · Celery · VMWare · Django · Continous Integration · Test Driven Development · HTTP
2,Flask Python Developer,Cyber security  Company,"Cairo, Egypt ",Work From Home,InternshipEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Flask · Python · Software Development · Computer Science · Information Technology (IT)
3,Senior Python Django Developer,Mentor Seven,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Django · Python · Python Django · Software Development · Information Technology (IT) · ORM · Telecom Engineering
4,Senior Python Backend Developer,CROCOSOFT,"New Cairo, Cairo, Egypt ",Internship,Full TimeWork From HomeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT)
5,Python Developer for Sports Statistics.,Fekra Technology Solutions and Construction,"Dokki, Giza, Egypt ",Full Time,Full TimeWork From HomeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · ETL · Python · SQL · Information Technology (IT)
6,Senior / Mid Senior Python (Django) Developer,InnovaDigits,"Mansoura, Dakahlia, Egypt ",Full Time,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Django · Python · AWS · Docker · Software Development · Information Technology (IT) · MySQL
7,Senior Python Developer,Stackzy,"6th of October, Giza, Egypt ",Work From Home,Full TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Python · Databases · Software Development · Data Processing · airflow · Cloud · Computer Science
8,Python Backend Developer,Bydotpy,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · RESTful API · Computer Science · Computer Engineering · Software Development · Information Technology (IT)
9,Senior Python Engineer,El-Sewedy Electrometer,"6th of October, Giza, Egypt ",Work From Home,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · MySQL · Linux · Information Technology (IT) · SQL · jQuery · Programming
